"CCSBT Registration Number","Vessel Group","Vessel Name","Flag","Authorising Entity","Callsign","Vessel Registration Number","IMO","Tonnage","Vessel Type","Gear Type","Authorisation From","Authorisation To"
"FV06272","Fishing","NAGA MAS PERKASA - 17","Indonesia","Indonesia","YEB. 5348","30 NO. 590/NA","","30.0","Longliners","Longline","23/04/2015","15/06/2016"
"FV06074","Fishing","NAGA MAS PERKASA - 19","Indonesia","Indonesia","YEB 4842","29 NO. 4759/BC","","29.0","Longliners","Longline","14/12/2015","24/02/2017"
"FV06278","Fishing","NAGA MAS PERKASA - 20","Indonesia","Indonesia","YEB 5761","29 NO. 1106/FT","","29.0","Longliners","Longline","24/04/2015","15/06/2016"
"FV06154","Fishing","NAGA MAS PERKASA - 57","Indonesia","Indonesia","YEB 5729","29 NO. 954/NA","","29.0","Longliners","Longline","14/12/2015","17/01/2017"
"FV06155","Fishing","NAGA MAS PERKASA - 58","Indonesia","Indonesia","YEB 5730","29 NO. 955/NA","","29.0","Longliners","Longline","14/12/2015","17/01/2017"
"FV06049","Fishing","NAGA MAS PERKASA - II","Indonesia","Indonesia","YEB 5346","28 NO.1138/PD","","28.0","Longliners","Longline","24/04/2015","23/06/2016"
"FV06050","Fishing","NAGA MAS PERKASA - III","Indonesia","Indonesia","YEB 5347","29 NO.1146/NA","","29.0","Longliners","Longline","24/04/2015","23/06/2016"
"FV06075","Fishing","NAGA MAS PERKASA - IX","Indonesia","Indonesia","YEB 5728","30 NO. 1318/PD","","30.0","Longliners","Longline","14/12/2015","11/01/2017"
"FV06048","Fishing","NAGA MAS PERKASA - VII","Indonesia","Indonesia","YEB 5727","28 NO. 1282/PD","","28.0","Longliners","Longline","12/10/2015","23/10/2016"
"FV06157","Fishing","NAGA MAS PERKASA - XII","Indonesia","Indonesia","YEB 5740","30 NO. 1330/NA","","30.0","Longliners","Longline","14/12/2015","03/02/2017"
"FV04372","Fishing","NANSI","Australia","Australia","UNKNOWN","O661","","281.0","Multipurpose vessels","Unspecified Method","01/12/2015","30/11/2016"
"FV06047","Fishing","NIKITA","Indonesia","Indonesia","YEB. 4858","28 NO. 1391/BC","","28.0","Longliners","Longline","24/04/2015","21/06/2016"
"FV00136","Fishing","NO.216 DONGWON","Korea, Republic of","Korea, Republic of","6NMK","9510075-6260005","8843094","408.0","Longliners","Longline","19/05/2011","21/09/2020"
"FV06236","Fishing","NO.637 DONG WON","Korea, Republic of","Korea, Republic of","DTBW8","0910001-6261101","9032991","251.0","Longliners","Longline","10/11/2014","09/11/2019"
"FV05983","Fishing","NO.638 DONG WON","Korea, Republic of","Korea, Republic of","DTBW9","0910002-6261100","9016399","250.0","Longliners","Longline","10/11/2014","09/11/2019"
"FV06036","Fishing","NO.639 DONGWON","Korea, Republic of","Korea, Republic of","6KCA","1203001-6261109","9011167","266.0","Longliners","Longline","13/02/2014","28/03/2017"
"FV06271","Fishing","NO.805 ORYONG","Korea, Republic of","Korea, Republic of","6KAI","1507002-6261408","9178587","651.0","Longliners","Longline","01/08/2015","31/07/2020"
"FV06308","Fishing","NORUEGO","Spain","Spain","EAFE","UNKNOWN","8649486","101.1","Longliners","Longline","01/01/2016","31/12/2017"
"FV04525","Fishing","NOVO RUIVO","Portugal","Portugal","CUIA6","V-25-N","","481.0","Longliners","Longline","01/01/2008","31/12/2020"
